Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80206,Single Family Residence,1057000,1151000,94.93,11,0.52,21,356,21,1.91,12
December,2022,80206,Single Family Residence,953500,1277071,98.46,14,1.17,26,407,12,0.86,5
January,2023,80206,Single Family Residence,684900,728780,90.21,5,0.36,54,306,14,2.8,10
February,2023,80206,Single Family Residence,920000,1041000,100.54,7,0.58,5,401,12,1.71,16
March,2023,80206,Single Family Residence,1525250,2266444,101.07,18,0.95,28,510,19,1.06,22
April,2023,80206,Single Family Residence,1345790,1529858,100.75,10,0.48,24,435,21,2.1,20
May,2023,80206,Single Family Residence,1242000,1554955,102.6,16,0.46,10,445,35,2.19,32
June,2023,80206,Single Family Residence,1035000,1691882,100.84,15,0.38,15,460,39,2.6,24
July,2023,80206,Single Family Residence,985000,1260545,98.02,11,0.26,43,426,42,3.82,14
August,2023,80206,Single Family Residence,1091000,1331346,97.33,13,0.35,22,433,37,2.85,20
September,2023,80206,Single Family Residence,1087500,1349300,98.73,20,0.61,36,493,33,1.65,16
October,2023,80206,Single Family Residence,902500,1405250,97.98,12,0.31,32,446,39,3.25,16
November,2023,80206,Single Family Residence,1210000,1965429,98.31,7,0.24,57,523,29,4.14,8
December,2023,80206,Single Family Residence,1400000,1833980,90.86,5,0.33,39,461,15,3,4
January,2024,80206,Single Family Residence,1005625,1387849,97.19,8,0.35,39,481,23,2.88,15
February,2024,80206,Single Family Residence,1085400,1414662,97.93,8,0.35,52,471,23,2.88,18
March,2024,80206,Single Family Residence,908000,1366177,99.19,15,0.43,18,449,35,2.33,27
April,2024,80206,Single Family Residence,1350000,1769317,100.74,9,0.2,24,547,44,4.89,30
May,2024,80206,Single Family Residence,975000,1219038,99.97,13,0.21,32,421,62,4.77,41
June,2024,80206,Single Family Residence,1300000,2098072,97.96,19,0.32,17,474,60,3.16,19
July,2024,80206,Single Family Residence,1055000,1748393,98.26,14,0.27,60,458,52,3.71,17
August,2024,80206,Single Family Residence,954500,1049433,98.69,16,0.33,43,384,48,3,24
September,2024,80206,Single Family Residence,988750,1052423,97.04,18,0.37,39,406,49,2.72,18
October,2024,80206,Single Family Residence,925000,1337404,99.98,13,0.32,30,425,41,3.15,17
November,2024,80206,Single Family Residence,1392500,1442500,97.34,14,0.33,43,449,43,3.07,18
December,2024,80206,Single Family Residence,955000,1138467,97.9,9,0.33,49,408,27,3,6
January,2025,80206,Single Family Residence,999999,1116750,99.33,13,0.42,44,427,31,2.38,23
February,2025,80206,Single Family Residence,915000,1347167,99.86,12,0.29,54,448,42,3.5,22
March,2025,80206,Single Family Residence,1300000,1430908,100.02,13,0.31,25,473,42,3.23,27
April,2025,80206,Single Family Residence,1182500,1359720,99.77,20,0.37,51,466,54,2.7,34
May,2025,80206,Single Family Residence,1125000,1975863,99.1,13,0.21,27,502,63,4.85,35
June,2025,80206,Single Family Residence,1030000,1401165,99.59,20,0.31,19,441,65,3.25,27
July,2025,80206,Single Family Residence,1164500,1363200,97.36,20,0.32,37,449,62,3.1,25
August,2025,80206,Single Family Residence,988500,1177222,98,18,0.34,39,426,53,2.94,15
September,2025,80206,Single Family Residence,1155000,1523000,96.72,11,0.18,42,414,62,5.64,31
October,2025,80206,Single Family Residence,825000,950050,95.72,15,0.24,51,344,62,4.13,25
