Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80218,Single Family Residence,1717500,1710000,100.49,6,0.4,30,434,15,2.5,12
December,2022,80218,Single Family Residence,1111250,2154583,99.63,6,0.6,58,535,10,1.67,2
January,2023,80218,Single Family Residence,775000,1019550,95.35,5,0.45,58,366,11,2.2,5
February,2023,80218,Single Family Residence,1266250,1266250,97.01,2,0.25,36,384,8,4,5
March,2023,80218,Single Family Residence,1285000,1656810,98.4,9,0.9,37,457,10,1.11,9
April,2023,80218,Single Family Residence,827500,1351250,102.16,4,0.31,6,464,13,3.25,11
May,2023,80218,Single Family Residence,1266000,1379636,103.85,11,0.85,6,471,13,1.18,9
June,2023,80218,Single Family Residence,1735000,1963750,98.77,4,0.24,34,542,17,4.25,11
July,2023,80218,Single Family Residence,1345000,1484667,98.88,6,0.33,26,469,18,3,11
August,2023,80218,Single Family Residence,1848000,2305701,99.58,5,0.33,19,626,15,3,7
September,2023,80218,Single Family Residence,1010000,1668025,95.39,6,0.32,28,481,19,3.17,10
October,2023,80218,Single Family Residence,1775000,1649650,100.32,5,0.31,32,499,16,3.2,5
November,2023,80218,Single Family Residence,1240000,1167500,94.37,3,0.2,67,406,15,5,2
December,2023,80218,Single Family Residence,1300000,1361250,97.04,4,0.29,13,484,14,3.5,3
January,2024,80218,Single Family Residence,1245000,1245000,98.87,2,0.17,122,411,12,6,4
February,2024,80218,Single Family Residence,1118000,1124600,100.28,5,0.31,95,400,16,3.2,14
March,2024,80218,Single Family Residence,975000,1374589,100.2,14,0.78,33,409,18,1.29,13
April,2024,80218,Single Family Residence,1015000,992111,98.29,9,0.47,75,396,19,2.11,13
May,2024,80218,Single Family Residence,960000,1486827,99.72,11,0.41,43,463,27,2.45,14
June,2024,80218,Single Family Residence,2028945,2436972,100.59,4,0.15,66,547,27,6.75,15
July,2024,80218,Single Family Residence,1025000,1033840,98.23,5,0.17,43,384,29,5.8,11
August,2024,80218,Single Family Residence,965000,1735625,98.11,8,0.27,28,435,30,3.75,8
September,2024,80218,Single Family Residence,1127800,1096350,99.56,6,0.18,54,409,34,5.67,14
October,2024,80218,Single Family Residence,1262500,1255375,95.93,8,0.3,41,414,27,3.38,7
November,2024,80218,Single Family Residence,940000,1058571,93.36,7,0.29,74,345,24,3.43,5
December,2024,80218,Single Family Residence,1205000,1434200,97.59,5,0.36,54,383,14,2.8,1
January,2025,80218,Single Family Residence,725000,987843,98.4,7,0.39,101,314,18,2.57,9
February,2025,80218,Single Family Residence,2212500,1926000,92.25,4,0.16,98,460,25,6.25,13
March,2025,80218,Single Family Residence,790000,1113143,98.78,7,0.25,48,352,28,4,14
April,2025,80218,Single Family Residence,1200000,1375500,96.46,9,0.3,45,445,30,3.33,10
May,2025,80218,Single Family Residence,1070000,1100571,97.3,7,0.2,9,429,35,5,22
June,2025,80218,Single Family Residence,1397500,1608649,97.92,14,0.36,27,424,39,2.79,18
July,2025,80218,Single Family Residence,1155000,1141500,99.33,4,0.11,45,400,37,9.25,11
August,2025,80218,Single Family Residence,928000,1021778,98.99,9,0.3,61,349,30,3.33,6
September,2025,80218,Single Family Residence,840000,1363929,96.67,7,0.23,61,341,31,4.43,15
October,2025,80218,Single Family Residence,935000,1671111,97.49,9,0.32,16,489,28,3.11,9
