Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80204,Single Family Residence,575000,577238,95.88,8,0.22,24,380,36,4.5,12
December,2022,80204,Single Family Residence,447000,505090,99.91,10,0.43,27,388,23,2.3,3
January,2023,80204,Single Family Residence,525000,525444,96.12,9,0.47,48,309,19,2.11,11
February,2023,80204,Single Family Residence,539865,585274,99.38,13,0.59,36,362,22,1.69,22
March,2023,80204,Single Family Residence,625000,680718,98.82,17,0.81,24,401,21,1.24,24
April,2023,80204,Single Family Residence,476500,591574,101.27,23,0.82,20,425,28,1.22,25
May,2023,80204,Single Family Residence,615000,570104,101.84,14,0.54,9,394,26,1.86,16
June,2023,80204,Single Family Residence,530000,522531,102.16,13,0.37,7,388,35,2.69,27
July,2023,80204,Single Family Residence,545000,601163,98.12,19,0.68,27,373,28,1.47,15
August,2023,80204,Single Family Residence,490000,555942,97.93,13,0.35,28,396,37,2.85,28
September,2023,80204,Single Family Residence,580000,561864,100.72,11,0.3,24,408,37,3.36,15
October,2023,80204,Single Family Residence,436500,506250,95.61,8,0.2,54,417,40,5,17
November,2023,80204,Single Family Residence,560000,591875,97.91,8,0.22,36,395,37,4.62,14
December,2023,80204,Single Family Residence,550000,557446,97.27,17,0.65,42,359,26,1.53,12
January,2024,80204,Single Family Residence,562500,637875,98.72,8,0.33,73,452,24,3,15
February,2024,80204,Single Family Residence,541250,527939,99.13,14,0.39,48,427,36,2.57,26
March,2024,80204,Single Family Residence,598000,625781,102.04,16,0.44,13,415,36,2.25,32
April,2024,80204,Single Family Residence,555000,618595,100.43,20,0.53,31,439,38,1.9,29
May,2024,80204,Single Family Residence,614990,594696,100.45,21,0.37,26,417,57,2.71,43
June,2024,80204,Single Family Residence,794500,793779,99.26,14,0.25,16,419,56,4,27
July,2024,80204,Single Family Residence,600000,598737,99.64,19,0.33,26,424,58,3.05,29
August,2024,80204,Single Family Residence,596000,678589,98.69,23,0.38,42,402,61,2.65,35
September,2024,80204,Single Family Residence,515000,685375,98.97,12,0.18,34,388,67,5.58,27
October,2024,80204,Single Family Residence,522500,628794,97.01,20,0.28,28,430,72,3.6,37
November,2024,80204,Single Family Residence,522250,554844,96.68,16,0.25,63,361,63,3.94,18
December,2024,80204,Single Family Residence,673500,666688,99.09,16,0.28,46,393,57,3.56,16
January,2025,80204,Single Family Residence,430000,460543,96.37,11,0.19,47,326,58,5.27,29
February,2025,80204,Single Family Residence,660000,633709,96.38,16,0.3,46,372,54,3.38,23
March,2025,80204,Single Family Residence,527000,600865,98.55,20,0.35,55,401,57,2.85,33
April,2025,80204,Single Family Residence,620000,721194,97.81,16,0.25,56,411,65,4.06,37
May,2025,80204,Single Family Residence,534000,623112,97.44,17,0.23,45,402,75,4.41,39
June,2025,80204,Single Family Residence,555000,609582,96.66,11,0.12,28,352,88,8,41
July,2025,80204,Single Family Residence,539950,623656,98.96,18,0.24,47,384,75,4.17,17
August,2025,80204,Single Family Residence,577500,659975,98.25,12,0.16,51,378,77,6.42,27
September,2025,80204,Single Family Residence,665500,620643,94.86,14,0.21,58,372,68,4.86,22
October,2025,80204,Single Family Residence,510000,479523,94.3,11,0.17,108,380,66,6,24
