Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80220,Single Family Residence,760000,1003272,98.15,29,0.43,42,391,68,2.34,38
December,2022,80220,Single Family Residence,700100,798214,99.98,21,0.44,35,424,48,2.29,14
January,2023,80220,Single Family Residence,575000,702995,98.3,17,0.42,50,416,40,2.35,25
February,2023,80220,Single Family Residence,725350,809704,99.64,26,0.67,52,372,39,1.5,31
March,2023,80220,Single Family Residence,635000,838960,99,41,0.71,41,410,58,1.41,67
April,2023,80220,Single Family Residence,832500,984786,102.15,38,0.7,16,433,54,1.42,54
May,2023,80220,Single Family Residence,798000,920455,100.54,51,0.86,28,413,59,1.16,52
June,2023,80220,Single Family Residence,790000,976331,100.13,47,0.67,16,426,70,1.49,61
July,2023,80220,Single Family Residence,889000,1099661,99.36,40,0.58,24,419,69,1.72,41
August,2023,80220,Single Family Residence,885000,1135700,98.91,45,0.65,30,469,69,1.53,37
September,2023,80220,Single Family Residence,899000,1004170,98.3,27,0.35,31,429,78,2.89,48
October,2023,80220,Single Family Residence,837500,965391,97.41,23,0.32,19,403,73,3.17,40
November,2023,80220,Single Family Residence,807500,979174,99.36,22,0.36,26,398,61,2.77,18
December,2023,80220,Single Family Residence,932500,1086898,97.37,26,0.68,51,384,38,1.46,10
January,2024,80220,Single Family Residence,727500,933513,96.2,20,0.57,70,399,35,1.75,19
February,2024,80220,Single Family Residence,655990,774693,98.27,18,0.36,64,388,50,2.78,47
March,2024,80220,Single Family Residence,800000,1084543,102.38,35,0.66,28,422,53,1.51,54
April,2024,80220,Single Family Residence,825000,1024895,100.31,46,0.64,20,433,72,1.57,73
May,2024,80220,Single Family Residence,800000,1012575,100.31,42,0.37,31,449,113,2.69,94
June,2024,80220,Single Family Residence,777500,1051082,98.5,40,0.32,31,420,125,3.12,64
July,2024,80220,Single Family Residence,815000,981165,98.08,46,0.38,25,410,122,2.65,46
August,2024,80220,Single Family Residence,720000,858308,97.52,40,0.35,35,411,115,2.88,48
September,2024,80220,Single Family Residence,655000,712072,98.75,28,0.23,38,390,124,4.43,53
October,2024,80220,Single Family Residence,685000,1068324,97.85,37,0.34,58,409,110,2.97,45
November,2024,80220,Single Family Residence,675000,955456,97.4,39,0.41,46,397,94,2.41,31
December,2024,80220,Single Family Residence,715000,853827,98.39,23,0.32,72,390,73,3.17,15
January,2025,80220,Single Family Residence,482500,776667,96.94,18,0.21,70,376,84,4.67,50
February,2025,80220,Single Family Residence,1036000,1215939,98.93,28,0.33,71,429,86,3.07,51
March,2025,80220,Single Family Residence,765000,902860,98.96,39,0.31,52,409,126,3.23,86
April,2025,80220,Single Family Residence,840000,1074308,101.16,47,0.31,26,414,150,3.19,92
May,2025,80220,Single Family Residence,847500,1006600,98.99,43,0.25,42,412,170,3.95,80
June,2025,80220,Single Family Residence,774500,1043346,98.94,48,0.3,25,423,161,3.35,58
July,2025,80220,Single Family Residence,725000,934373,97.65,35,0.24,38,399,145,4.14,45
August,2025,80220,Single Family Residence,587500,881800,97.68,34,0.27,55,400,127,3.74,38
September,2025,80220,Single Family Residence,773562,1004039,96.8,26,0.21,48,420,123,4.73,47
October,2025,80220,Single Family Residence,852500,1160646,98.17,34,0.29,47,406,118,3.47,42
