Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80202,Single Family Residence,0,0,0,0,0,0,0,1,0,0
December,2022,80202,Single Family Residence,0,0,0,0,0,0,0,1,0,0
January,2023,80202,Single Family Residence,0,0,0,0,0,0,0,1,0,0
February,2023,80202,Single Family Residence,0,0,0,0,0,0,0,1,0,0
March,2023,80202,Single Family Residence,0,0,0,0,0,0,0,1,0,0
April,2023,80202,Single Family Residence,0,0,0,0,0,0,0,1,0,0
May,2023,80202,Single Family Residence,0,0,0,0,0,0,0,1,0,0
June,2023,80202,Single Family Residence,0,0,0,0,0,0,0,2,0,1
July,2023,80202,Single Family Residence,0,0,0,0,0,0,0,3,0,1
August,2023,80202,Single Family Residence,0,0,0,0,0,0,0,3,0,0
September,2023,80202,Single Family Residence,0,0,0,0,0,0,0,5,0,2
October,2023,80202,Single Family Residence,0,0,0,0,0,0,0,6,0,1
November,2023,80202,Single Family Residence,0,0,0,0,0,0,0,9,0,3
December,2023,80202,Single Family Residence,50000,50000,90.91,1,0.17,13,0,6,6,0
January,2024,80202,Single Family Residence,48000,48000,91.43,1,0.2,162,0,5,5,0
February,2024,80202,Single Family Residence,0,0,0,0,0,0,0,5,0,1
March,2024,80202,Single Family Residence,37500,37500,83.33,1,0.11,673,0,9,9,5
April,2024,80202,Single Family Residence,40000,40000,100,1,0.11,1,0,9,9,1
May,2024,80202,Single Family Residence,0,0,0,0,0,0,0,8,0,1
June,2024,80202,Single Family Residence,47500,47500,99.02,2,0.29,46,0,7,3.5,1
July,2024,80202,Single Family Residence,60000,60000,92.31,1,0.12,80,0,8,8,3
August,2024,80202,Single Family Residence,49000,49000,89.09,1,0.12,323,0,8,8,0
September,2024,80202,Single Family Residence,55000,55000,91.67,1,0.17,43,0,6,6,2
October,2024,80202,Single Family Residence,0,0,0,0,0,0,0,7,0,1
November,2024,80202,Single Family Residence,55000,55000,100,1,0.17,151,0,6,6,0
December,2024,80202,Single Family Residence,0,0,0,0,0,0,0,5,0,0
January,2025,80202,Single Family Residence,0,0,0,0,0,0,0,3,0,0
February,2025,80202,Single Family Residence,0,0,0,0,0,0,0,3,0,1
March,2025,80202,Single Family Residence,0,0,0,0,0,0,0,4,0,1
April,2025,80202,Single Family Residence,0,0,0,0,0,0,0,5,0,3
May,2025,80202,Single Family Residence,57500,57500,90.08,2,0.33,156,0,6,3,3
June,2025,80202,Single Family Residence,65000,65000,92.86,1,0.17,15,0,6,6,0
July,2025,80202,Single Family Residence,0,0,0,0,0,0,0,5,0,0
August,2025,80202,Single Family Residence,55000,55000,88.14,2,0.5,142,0,4,2,0
September,2025,80202,Single Family Residence,80000,80000,100,1,0.33,2,0,3,3,1
October,2025,80202,Single Family Residence,0,0,0,0,0,0,0,3,0,2
