Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80205,Single Family Residence,796500,759052,98.69,23,0.57,31,397,40,1.74,17
December,2022,80205,Single Family Residence,619000,708167,99.74,14,0.48,45,324,29,2.07,9
January,2023,80205,Single Family Residence,591000,658442,96.21,12,0.57,65,339,21,1.75,16
February,2023,80205,Single Family Residence,550000,585340,96.13,15,0.71,53,374,21,1.4,24
March,2023,80205,Single Family Residence,768056,866102,98.39,24,1,22,392,24,1,28
April,2023,80205,Single Family Residence,637500,696475,99.11,24,1.04,46,369,23,0.96,28
May,2023,80205,Single Family Residence,809750,837919,101.54,26,0.67,16,418,39,1.5,40
June,2023,80205,Single Family Residence,722750,726583,100.49,24,0.59,33,378,41,1.71,27
July,2023,80205,Single Family Residence,700000,701253,102.35,15,0.42,22,463,36,2.4,21
August,2023,80205,Single Family Residence,594898,744998,98.67,22,0.55,24,369,40,1.82,28
September,2023,80205,Single Family Residence,605000,656816,100.17,19,0.38,15,461,50,2.63,26
October,2023,80205,Single Family Residence,741236,856248,99.86,12,0.27,38,438,44,3.67,22
November,2023,80205,Single Family Residence,755000,773180,99.81,15,0.34,52,372,44,2.93,22
December,2023,80205,Single Family Residence,605000,750974,98.3,19,0.79,40,384,24,1.26,9
January,2024,80205,Single Family Residence,540000,619685,96.36,18,0.86,45,373,21,1.17,18
February,2024,80205,Single Family Residence,649900,659042,99.74,19,0.63,81,449,30,1.58,30
March,2024,80205,Single Family Residence,655000,717393,98.38,15,0.42,18,415,36,2.4,31
April,2024,80205,Single Family Residence,685000,747460,99.54,21,0.43,24,430,49,2.33,44
May,2024,80205,Single Family Residence,788396,770189,99.41,24,0.34,24,413,70,2.92,59
June,2024,80205,Single Family Residence,750000,798013,100.87,31,0.46,21,410,68,2.19,31
July,2024,80205,Single Family Residence,721750,830038,97.4,24,0.38,44,426,64,2.67,34
August,2024,80205,Single Family Residence,702000,798040,99.76,21,0.28,34,382,74,3.52,39
September,2024,80205,Single Family Residence,659750,646632,97.24,22,0.29,30,425,77,3.5,37
October,2024,80205,Single Family Residence,628500,658456,94.91,24,0.3,51,356,81,3.38,38
November,2024,80205,Single Family Residence,610000,651361,99.09,21,0.32,34,413,65,3.1,11
December,2024,80205,Single Family Residence,650000,684591,99.53,11,0.24,38,433,45,4.09,8
January,2025,80205,Single Family Residence,700000,658321,97.19,14,0.25,90,404,57,4.07,36
February,2025,80205,Single Family Residence,728000,822233,99.28,18,0.29,60,422,63,3.5,32
March,2025,80205,Single Family Residence,752500,815194,99.9,20,0.28,31,395,72,3.6,47
April,2025,80205,Single Family Residence,641000,682156,99.64,29,0.3,25,407,96,3.31,65
May,2025,80205,Single Family Residence,749990,749778,99.53,21,0.2,19,385,104,4.95,51
June,2025,80205,Single Family Residence,675500,710100,99.37,30,0.3,19,429,99,3.3,37
July,2025,80205,Single Family Residence,700000,723428,97.49,31,0.39,67,394,79,2.55,23
August,2025,80205,Single Family Residence,650000,722320,96.47,25,0.35,58,358,72,2.88,33
September,2025,80205,Single Family Residence,680000,774550,97.87,22,0.35,40,389,63,2.86,25
October,2025,80205,Single Family Residence,580000,754833,98.46,15,0.25,47,412,61,4.07,33
