Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80203,Single Family Residence,995000,879167,95.32,3,0.43,56,391,7,2.33,2
December,2022,80203,Single Family Residence,2208875,2208875,92.5,2,0.4,19,345,5,2.5,0
January,2023,80203,Single Family Residence,819425,819425,97.9,2,0.67,81,407,3,1.5,0
February,2023,80203,Single Family Residence,780000,960000,97.35,3,1,53,342,3,1,3
March,2023,80203,Single Family Residence,935000,935000,98.42,1,0.33,155,431,3,3,1
April,2023,80203,Single Family Residence,0,0,0,0,0,0,0,3,0,1
May,2023,80203,Single Family Residence,595000,595000,100,1,0.2,5,429,5,5,3
June,2023,80203,Single Family Residence,875000,875000,100,1,0.14,111,327,7,7,5
July,2023,80203,Single Family Residence,630000,630000,107.69,1,0.1,5,477,10,10,4
August,2023,80203,Single Family Residence,940000,900000,100.55,3,0.38,13,379,8,2.67,1
September,2023,80203,Single Family Residence,833000,833000,96.3,1,0.17,89,397,6,6,0
October,2023,80203,Single Family Residence,0,0,0,0,0,0,0,7,0,3
November,2023,80203,Single Family Residence,780000,727967,96.86,3,0.43,69,391,7,2.33,2
December,2023,80203,Single Family Residence,699000,699000,102.95,1,0.33,19,330,3,3,0
January,2024,80203,Single Family Residence,856000,856000,103.76,1,0.25,10,277,4,4,2
February,2024,80203,Single Family Residence,720000,720000,97.96,1,0.17,157,359,6,6,3
March,2024,80203,Single Family Residence,0,0,0,0,0,0,0,7,0,6
April,2024,80203,Single Family Residence,690000,665543,96.37,7,1.75,63,426,4,0.57,5
May,2024,80203,Single Family Residence,965000,905000,99.48,3,0.5,6,422,6,2,6
June,2024,80203,Single Family Residence,947700,876733,104.54,3,0.43,19,348,7,2.33,1
July,2024,80203,Single Family Residence,759700,759700,98.03,1,0.14,61,333,7,7,3
August,2024,80203,Single Family Residence,449000,449000,100,1,0.1,51,302,10,10,3
September,2024,80203,Single Family Residence,1400000,1400000,93.33,1,0.1,11,444,10,10,1
October,2024,80203,Single Family Residence,593394,593394,99.95,2,0.2,53,217,10,5,4
November,2024,80203,Single Family Residence,941700,941700,98.2,1,0.1,7,360,10,10,3
December,2024,80203,Single Family Residence,805000,1405000,101.85,3,0.33,20,266,9,3,0
January,2025,80203,Single Family Residence,0,0,0,0,0,0,0,10,0,3
February,2025,80203,Single Family Residence,887500,887500,98.68,2,0.2,113,422,10,5,4
March,2025,80203,Single Family Residence,810000,810000,101.38,1,0.09,2,385,11,11,5
April,2025,80203,Single Family Residence,874000,863000,97.18,6,0.67,38,334,9,1.5,6
May,2025,80203,Single Family Residence,830000,835000,100.02,3,0.21,5,367,14,4.67,7
June,2025,80203,Single Family Residence,995000,995000,97.07,1,0.08,50,332,13,13,2
July,2025,80203,Single Family Residence,862500,770833,99,3,0.38,45,333,8,2.67,3
August,2025,80203,Single Family Residence,703000,701967,103.06,3,0.3,31,344,10,3.33,7
September,2025,80203,Single Family Residence,852000,857333,99.23,3,0.21,42,406,14,4.67,5
October,2025,80203,Single Family Residence,0,0,0,0,0,0,0,14,0,4
