Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
October,2024,80205,Single Family Residence,628500,658456,94.91,24,0.3,51,356,81,3.38,38
October,2025,80205,Single Family Residence,580000,754833,98.46,15,0.25,47,412,61,4.07,33
October,2023,80205,Condominium,570000,537714,97.68,7,0.35,77,473,20,2.86,8
October,2024,80205,Condominium,450000,460000,98.29,5,0.11,70,532,44,8.8,8
October,2025,80205,Condominium,411250,411250,100.91,2,0.04,11,430,53,26.5,15
October,2023,80204,Single Family Residence,436500,506250,95.61,8,0.2,54,417,40,5,17
October,2024,80204,Single Family Residence,522500,628794,97.01,20,0.28,28,430,72,3.6,37
October,2025,80204,Single Family Residence,510000,479523,94.3,11,0.17,108,380,66,6,24
October,2023,80204,Condominium,399500,399500,100,1,0.02,18,577,51,51,21
October,2024,80204,Condominium,610000,586980,98.59,5,0.09,62,404,58,11.6,15
October,2025,80204,Condominium,423750,441312,100.78,8,0.13,134,465,61,7.62,13
October,2023,80203,Single Family Residence,0,0,0,0,0,0,0,7,0,3
October,2024,80203,Single Family Residence,593394,593394,99.95,2,0.2,53,217,10,5,4
October,2025,80203,Single Family Residence,0,0,0,0,0,0,0,14,0,4
October,2023,80203,Condominium,331515,340868,101.68,15,0.28,36,458,54,3.6,27
October,2024,80203,Condominium,341000,314545,98.61,11,0.11,69,404,98,8.91,27
October,2025,80203,Condominium,316000,323875,98.87,8,0.07,41,387,119,14.88,26
October,2023,80202,Single Family Residence,0,0,0,0,0,0,0,6,0,1
October,2024,80202,Single Family Residence,0,0,0,0,0,0,0,7,0,1
October,2025,80202,Single Family Residence,0,0,0,0,0,0,0,3,0,2
October,2023,80202,Condominium,535000,704010,97.21,25,0.22,67,579,114,4.56,27
October,2024,80202,Condominium,718000,636433,96.33,15,0.08,102,558,177,11.8,46
October,2025,80202,Condominium,507500,693928,97.58,18,0.09,59,571,208,11.56,54
September,2023,80220,Single Family Residence,899000,1004170,98.3,27,0.35,31,429,78,2.89,48
September,2024,80220,Single Family Residence,655000,712072,98.75,28,0.23,38,390,124,4.43,53
September,2025,80220,Single Family Residence,773562,1004039,96.8,26,0.21,48,420,123,4.73,47
September,2023,80220,Condominium,270000,339167,98.89,9,0.47,18,406,19,2.11,14
September,2024,80220,Condominium,224900,298300,101.41,3,0.06,60,379,52,17.33,20
September,2025,80220,Condominium,212500,236250,96.78,4,0.11,38,282,36,9,6
September,2023,80218,Single Family Residence,1010000,1668025,95.39,6,0.32,28,481,19,3.17,10
September,2024,80218,Single Family Residence,1127800,1096350,99.56,6,0.18,54,409,34,5.67,14
September,2025,80218,Single Family Residence,840000,1363929,96.67,7,0.23,61,341,31,4.43,15
September,2023,80218,Condominium,337000,449433,97.39,15,0.38,47,462,40,2.67,25
September,2024,80218,Condominium,390000,414693,98.79,15,0.18,33,455,85,5.67,27
September,2025,80218,Condominium,295750,358550,96.84,10,0.11,102,400,91,9.1,25
September,2023,80207,Single Family Residence,705000,795684,100.12,19,0.39,31,387,49,2.58,34
September,2024,80207,Single Family Residence,640500,718782,98.51,28,0.37,27,407,75,2.68,41
September,2025,80207,Single Family Residence,697750,882791,97.12,26,0.39,49,387,66,2.54,33
September,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
September,2024,80207,Condominium,0,0,0,0,0,0,0,2,0,0
September,2025,80207,Condominium,0,0,0,0,0,0,0,4,0,0
September,2023,80206,Single Family Residence,1087500,1349300,98.73,20,0.61,36,493,33,1.65,16
September,2024,80206,Single Family Residence,988750,1052423,97.04,18,0.37,39,406,49,2.72,18
September,2025,80206,Single Family Residence,1155000,1523000,96.72,11,0.18,42,414,62,5.64,31
September,2023,80206,Condominium,495000,549554,99.59,10,0.21,32,551,48,4.8,20
September,2024,80206,Condominium,795000,1141000,99.31,5,0.07,66,704,68,13.6,16
September,2025,80206,Condominium,505000,639100,99.2,9,0.13,36,574,67,7.44,24
September,2023,80205,Single Family Residence,605000,656816,100.17,19,0.38,15,461,50,2.63,26
September,2024,80205,Single Family Residence,659750,646632,97.24,22,0.29,30,425,77,3.5,37
September,2025,80205,Single Family Residence,680000,774550,97.87,22,0.35,40,389,63,2.86,25
September,2023,80205,Condominium,487500,534400,96.25,6,0.29,16,472,21,3.5,10
September,2024,80205,Condominium,640030,854966,95.51,5,0.11,98,511,46,9.2,16
September,2025,80205,Condominium,423750,423750,99.1,2,0.03,90,450,58,29,12
September,2023,80204,Single Family Residence,580000,561864,100.72,11,0.3,24,408,37,3.36,15
September,2024,80204,Single Family Residence,515000,685375,98.97,12,0.18,34,388,67,5.58,27
September,2025,80204,Single Family Residence,665500,620643,94.86,14,0.21,58,372,68,4.86,22
September,2023,80204,Condominium,555000,548927,98.4,11,0.22,73,457,50,4.55,18
September,2024,80204,Condominium,449500,430033,97.11,9,0.14,119,384,65,7.22,12
September,2025,80204,Condominium,350500,350500,97.52,2,0.03,174,408,64,32,8
September,2023,80203,Single Family Residence,833000,833000,96.3,1,0.17,89,397,6,6,0
September,2024,80203,Single Family Residence,1400000,1400000,93.33,1,0.1,11,444,10,10,1
September,2025,80203,Single Family Residence,852000,857333,99.23,3,0.21,42,406,14,4.67,5
September,2023,80203,Condominium,349000,345988,98.22,14,0.24,32,437,59,4.21,21
September,2024,80203,Condominium,420000,597060,96.06,15,0.14,96,435,108,7.2,34
September,2025,80203,Condominium,355748,401742,98.02,14,0.12,70,377,118,8.43,29
September,2023,80202,Single Family Residence,0,0,0,0,0,0,0,5,0,2
September,2024,80202,Single Family Residence,55000,55000,91.67,1,0.17,43,0,6,6,2
September,2025,80202,Single Family Residence,80000,80000,100,1,0.33,2,0,3,3,1
September,2023,80202,Condominium,555500,718876,97.82,27,0.21,72,579,127,4.7,36
September,2024,80202,Condominium,555000,709716,97.83,18,0.11,104,565,164,9.11,39
September,2025,80202,Condominium,608000,730574,95.62,19,0.09,94,590,215,11.32,44
